name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Server: DHE-RSA-CHACHA20-POLY1305/1000000/32/1/5/iterations:100/repeats:1",100,7.15347e+06,2.20221e+06,ns,,,,,
"Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/100/33/1/5/iterations:100/repeats:1",100,12631.5,12605.9,ns,,,,,
"Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/10000/33/1/5/iterations:100/repeats:1",100,17245.4,17260.3,ns,,,,,
"Server: ECDHE-BIKE-RSA-AES256-GCM-SHA384/1000000/33/1/5/iterations:100/repeats:1",100,5.73547e+06,1.59252e+06,ns,,,,,
"Server: ECDHE-SIKE-RSA-AES256-GCM-SHA384/100/34/1/5/iterations:100/repeats:1",100,12840,12794.8,ns,,,,,
"Server: ECDHE-SIKE-RSA-AES256-GCM-SHA384/10000/34/1/5/iterations:100/repeats:1",100,44967.9,33853.1,ns,,,,,
"Server: ECDHE-SIKE-RSA-AES256-GCM-SHA384/1000000/34/1/5/iterations:100/repeats:1",100,5.79192e+06,1.60419e+06,ns,,,,,
"Server: ECDHE-KYBER-RSA-AES256-GCM-SHA384/100/35/1/5/iterations:100/repeats:1",100,12546.1,12512.7,ns,,,,,
"Server: ECDHE-KYBER-RSA-AES256-GCM-SHA384/10000/35/1/5/iterations:100/repeats:1",100,43296,32890.4,ns,,,,,
"Server: ECDHE-KYBER-RSA-AES256-GCM-SHA384/1000000/35/1/5/iterations:100/repeats:1",100,5.78477e+06,1.60573e+06,ns,,,,,
