name,iterations,real_time,cpu_time,time_unit,name,iterations,real_time,cpu_time,real_time_diff,cpu_time_idff,match
Client: ECDHE-RSA-AES128-SHA/100/20/1/4/iterations:100/repeats:1,100,36342.5,15230,ns,Client: ECDHE-RSA-AES128-SHA/100/20/1/4/iterations:100/repeats:1,100,39289.1,17231.5,-0.081078627,-0.131418253,Match
Client: ECDHE-RSA-AES128-SHA/10000/20/1/4/iterations:100/repeats:1,100,123388,61790.9,ns,Client: ECDHE-RSA-AES128-SHA/10000/20/1/4/iterations:100/repeats:1,100,121242,56529.9,0.017392291,0.085141987,Match
Client: ECDHE-RSA-AES128-SHA/1000000/20/1/4/iterations:100/repeats:1,100,8.22E+06,4.62E+06,ns,Client: ECDHE-RSA-AES128-SHA/1000000/20/1/4/iterations:100/repeats:1,100,7.69E+06,3.89E+06,0.065476712,0.15814021,Match
Client: ECDHE-RSA-AES256-SHA/100/21/1/4/iterations:100/repeats:1,100,36891.3,15367.8,ns,Client: ECDHE-RSA-AES256-SHA/100/21/1/4/iterations:100/repeats:1,100,39989.2,17688.7,-0.083973728,-0.151023569,Match
Client: ECDHE-RSA-AES256-SHA/10000/21/1/4/iterations:100/repeats:1,100,130794,67561.4,ns,Client: ECDHE-RSA-AES256-SHA/10000/21/1/4/iterations:100/repeats:1,100,124540,58636.1,0.047815649,0.132106499,Match
Client: ECDHE-RSA-AES256-SHA/1000000/21/1/4/iterations:100/repeats:1,100,8.92E+06,5.18E+06,ns,Client: ECDHE-RSA-AES256-SHA/1000000/21/1/4/iterations:100/repeats:1,100,8.07E+06,4.10E+06,0.095002976,0.20888209,Match
Client: ECDHE-ECDSA-AES128-SHA256/100/22/1/4/iterations:100/repeats:1,100,38188.6,15925.2,ns,Client: ECDHE-ECDSA-AES128-SHA256/100/22/1/4/iterations:100/repeats:1,100,40538.6,17573.6,-0.061536689,-0.103508904,Match
Client: ECDHE-ECDSA-AES128-SHA256/10000/22/1/4/iterations:100/repeats:1,100,184543,92864.4,ns,Client: ECDHE-ECDSA-AES128-SHA256/10000/22/1/4/iterations:100/repeats:1,100,168254,79219.7,0.088266691,0.14693144,Match
Client: ECDHE-ECDSA-AES128-SHA256/1000000/22/1/4/iterations:100/repeats:1,100,1.42E+07,7.59E+06,ns,Client: ECDHE-ECDSA-AES128-SHA256/1000000/22/1/4/iterations:100/repeats:1,100,1.24E+07,6.18E+06,0.127483199,0.185547927,Match
Client: ECDHE-ECDSA-AES256-SHA384/100/23/1/4/iterations:100/repeats:1,100,39052.6,16444.6,ns,Client: ECDHE-ECDSA-AES256-SHA384/100/23/1/4/iterations:100/repeats:1,100,39951.2,16685.3,-0.023009992,-0.014637024,Match
Client: ECDHE-ECDSA-AES256-SHA384/10000/23/1/4/iterations:100/repeats:1,100,163028,83404,ns,Client: ECDHE-ECDSA-AES256-SHA384/10000/23/1/4/iterations:100/repeats:1,100,156374,79865.9,0.040815075,0.042421227,Match
Client: ECDHE-ECDSA-AES256-SHA384/1000000/23/1/4/iterations:100/repeats:1,100,1.20E+07,6.69E+06,ns,Client: ECDHE-ECDSA-AES256-SHA384/1000000/23/1/4/iterations:100/repeats:1,100,1.13E+07,6.34E+06,0.056326026,0.052537765,Match
Client: ECDHE-RSA-AES128-SHA256/100/24/1/4/iterations:100/repeats:1,100,38644.7,16256.4,ns,Client: ECDHE-RSA-AES128-SHA256/100/24/1/4/iterations:100/repeats:1,100,41783.1,18287.2,-0.081211654,-0.124923107,Match
Client: ECDHE-RSA-AES128-SHA256/10000/24/1/4/iterations:100/repeats:1,100,185540,92854.4,ns,Client: ECDHE-RSA-AES128-SHA256/10000/24/1/4/iterations:100/repeats:1,100,170787,80095.2,0.079513851,0.137410828,Match
